Time,R,G,B,X,Y,Z,L*,a*,b*
09:26:40.469,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009250,0.027833,0.007904
09:26:40.486,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009880,0.030301,0.007784
09:26:40.549,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.009268,0.029206,0.008392
09:26:40.551,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010064,0.030711,0.007681
09:26:40.568,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009859,0.031554,0.008983
09:26:40.584,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010083,0.031274,0.008686
09:26:40.601,0.005,0.000,0.000,0.000008,0.000005,0.000002,0.009953,0.033123,0.009491
09:26:40.618,0.004,0.000,0.001,0.000007,0.000004,0.000003,0.009143,0.028617,0.007276
09:26:40.634,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009909,0.030847,0.008079
09:26:40.651,0.004,0.000,0.001,0.000007,0.000004,0.000003,0.009059,0.029127,0.007305
09:26:40.668,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008979,0.027862,0.008514
09:26:40.684,0.004,0.000,0.000,0.000007,0.000005,0.000002,0.009486,0.029403,0.008868
09:26:40.701,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.009352,0.028178,0.008933
09:26:40.717,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.009384,0.029438,0.009633
09:26:40.734,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010311,0.029966,0.008375
09:26:40.751,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.010007,0.030523,0.009524
09:26:40.773,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009861,0.030426,0.008482
09:26:40.784,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009974,0.030345,0.008505
09:26:40.801,0.004,0.000,0.000,0.000007,0.000005,0.000002,0.009574,0.029144,0.009380
09:26:40.819,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010289,0.030712,0.008790
09:26:40.838,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.010118,0.030199,0.010215
09:26:40.851,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009763,0.029541,0.008367
09:26:40.867,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009793,0.031167,0.008442
09:26:40.884,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009733,0.030893,0.008445
09:26:40.902,0.004,0.000,0.001,0.000007,0.000005,0.000003,0.009641,0.028451,0.007777
09:26:40.918,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009995,0.028001,0.008880
09:26:40.935,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.010012,0.030538,0.009580
09:26:40.951,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009760,0.030070,0.008807
09:26:40.969,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009919,0.029859,0.006722
09:26:40.984,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009740,0.030678,0.009223
09:26:41.001,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009892,0.030316,0.009348
09:26:41.018,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010548,0.031209,0.009574
09:26:41.035,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009878,0.029821,0.007965
09:26:41.051,0.004,0.000,0.001,0.000007,0.000005,0.000002,0.009687,0.027974,0.008514
09:26:41.112,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.009288,0.029878,0.008530
09:26:41.117,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009124,0.029106,0.007449
09:26:41.135,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009791,0.029389,0.008213
09:26:41.153,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010557,0.031446,0.009206
09:26:41.168,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009678,0.030423,0.008981
09:26:41.229,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009778,0.030163,0.008739
09:26:41.235,0.004,0.000,0.001,0.000007,0.000004,0.000003,0.009360,0.028463,0.006922
09:26:41.251,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010117,0.030037,0.009051
09:26:41.318,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009764,0.030275,0.008527
09:26:41.330,0.004,0.000,0.001,0.000007,0.000004,0.000003,0.008886,0.027927,0.006927
09:26:41.363,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009855,0.028760,0.009650
09:26:41.448,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008541,0.027641,0.007273
09:26:41.452,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.008803,0.028073,0.007480
09:26:41.469,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008750,0.027193,0.007821
09:26:41.531,0.005,0.000,0.001,0.000008,0.000005,0.000003,0.010436,0.032543,0.009141
09:26:41.535,0.004,0.000,0.000,0.000007,0.000005,0.000002,0.009781,0.027863,0.009280
09:26:41.538,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009205,0.028217,0.007990
09:26:41.552,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008506,0.026156,0.007097
09:26:41.570,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009690,0.029570,0.007823
09:26:41.584,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009905,0.031131,0.009286
09:26:41.606,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009872,0.031614,0.009004
09:26:41.624,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009878,0.029903,0.008497
09:26:41.640,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010469,0.032169,0.008556
09:26:41.655,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009567,0.031485,0.008351
09:26:41.671,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009779,0.030879,0.009044
09:26:41.733,0.005,0.000,0.001,0.000009,0.000005,0.000002,0.010800,0.034654,0.010500
09:26:41.796,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009372,0.028823,0.008107
09:26:41.800,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008931,0.027805,0.008393
09:26:41.804,0.004,0.000,0.000,0.000007,0.000005,0.000002,0.009468,0.029174,0.008836
09:26:41.817,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009998,0.031413,0.008030
09:26:41.836,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009913,0.030318,0.007639
09:26:41.851,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009055,0.028458,0.007721
09:26:41.875,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010029,0.030487,0.008204
09:26:41.890,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009914,0.032821,0.009283
09:26:41.903,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009463,0.030505,0.007549
09:26:41.921,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009597,0.031004,0.008532
09:26:41.941,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009934,0.030670,0.009223
09:26:41.955,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009752,0.030258,0.009426
09:26:41.969,0.004,0.000,0.001,0.000007,0.000005,0.000002,0.009481,0.028228,0.008500
09:26:41.990,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010150,0.029954,0.008519
09:26:42.053,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009047,0.029183,0.007626
09:26:42.057,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009680,0.029642,0.008100
09:26:42.070,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010304,0.031406,0.008585
09:26:42.086,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.010203,0.030996,0.009343
09:26:42.145,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009252,0.029802,0.007799
09:26:42.150,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009624,0.030154,0.007929
09:26:42.154,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.009156,0.029849,0.008719
09:26:42.167,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.008529,0.026263,0.007085
09:26:42.185,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009596,0.031758,0.008448
09:26:42.202,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008970,0.027661,0.008593
09:26:42.220,0.004,0.000,0.001,0.000008,0.000004,0.000003,0.009408,0.030227,0.007751
